latitude,longitude,NO2_molec_cm2,datetime
49.15,-123.29,2715380941384336.0,2025-07-11 00:00:00
49.15,-123.27,3880121532411406.0,2025-07-11 00:00:00
49.15,-123.25,3893751662436408.5,2025-07-11 00:00:00
49.15,-123.23,3907407704830315.5,2025-07-11 00:00:00
49.15,-123.21,4279014739667398.5,2025-07-11 00:00:00
49.15,-123.19,5812934043555886.0,2025-07-11 00:00:00
49.15,-123.17,5996932830627026.0,2025-07-11 00:00:00
49.15,-123.15,6008366880804624.0,2025-07-11 00:00:00
49.15,-123.13,6223077706799446.0,2025-07-11 00:00:00
49.15,-123.11,1.0102024094345892e+16,2025-07-11 00:00:00
49.15,-123.09,1.090307191205976e+16,2025-07-11 00:00:00
49.15,-123.07,1.0711178467828986e+16,2025-07-11 00:00:00
49.15,-123.05,1.0520284019759976e+16,2025-07-11 00:00:00
49.15,-123.03,1.5081983647337808e+16,2025-07-11 00:00:00
49.15,-123.01,1.6877203574590064e+16,2025-07-11 00:00:00
49.15,-122.99,1.779151832368017e+16,2025-07-11 00:00:00
49.15,-122.97,1.870758427871145e+16,2025-07-11 00:00:00
49.15,-122.95,1.5673961108603624e+16,2025-07-11 00:00:00
49.15,-122.93,1.0849137344798018e+16,2025-07-11 00:00:00
49.15,-122.91,1.1094986931872792e+16,2025-07-11 00:00:00
49.17,-123.29,4538546669606032.0,2025-07-11 00:00:00
49.17,-123.27,4718886150056370.0,2025-07-11 00:00:00
49.17,-123.25,4883924260924896.0,2025-07-11 00:00:00
49.17,-123.23,4831278274731016.0,2025-07-11 00:00:00
49.17,-123.21,4524712326536950.0,2025-07-11 00:00:00
49.17,-123.19,4601287349696477.0,2025-07-11 00:00:00
49.17,-123.17,4433659509088284.0,2025-07-11 00:00:00
49.17,-123.15,4293523246070111.0,2025-07-11 00:00:00
49.17,-123.13,7311017362255737.0,2025-07-11 00:00:00
49.17,-123.11,8610630244519065.0,2025-07-11 00:00:00
49.17,-123.09,8530266204589047.0,2025-07-11 00:00:00
49.17,-123.07,8530266204589046.0,2025-07-11 00:00:00
49.17,-123.05,1.5317895936331096e+16,2025-07-11 00:00:00
49.17,-123.03,2.4474719764614948e+16,2025-07-11 00:00:00
49.17,-123.01,2.4352840300895684e+16,2025-07-11 00:00:00
49.17,-122.99,2.421256213762618e+16,2025-07-11 00:00:00
49.17,-122.97,2.262961468641409e+16,2025-07-11 00:00:00
49.17,-122.95,1.4166104462341696e+16,2025-07-11 00:00:00
49.17,-122.93,1.425091917235107e+16,2025-07-11 00:00:00
49.17,-122.91,1.4785280321505932e+16,2025-07-11 00:00:00
49.19,-123.29,6050051953863676.0,2025-07-11 00:00:00
49.19,-123.27,5967026452876096.0,2025-07-11 00:00:00
49.19,-123.25,5861291934485641.0,2025-07-11 00:00:00
49.19,-123.23,4246848296318530.5,2025-07-11 00:00:00
49.19,-123.21,3794545424602054.0,2025-07-11 00:00:00
49.19,-123.19,3776638894786926.5,2025-07-11 00:00:00
